name,category,row_id,ingredient_number,ingredient,measure_amt,measure_unit
Cool Carlos,Cocktail Classics,5,2,Cranberry Juice,2,oz
Sonic Blaster,Vodka,244,6,Cranberry Juice,1,oz
Sea Breeze,Vodka,253,2,Cranberry Juice,4,oz
Robin's Nest,Vodka,272,2,Cranberry Juice,1,oz
Pretty In Pink,Vodka,344,2,Cranberry Juice,0.5,oz
Pink Lemonade,Vodka,355,6,Cranberry Juice,2,oz
Aquarius,Whiskies,367,3,Cranberry Juice,1,oz
Madras,Vodka,435,2,Cranberry Juice,4,oz
Jungle Juice,Vodka,481,4,Cranberry Juice,1,oz
Jackie-O,Vodka,488,5,Cranberry Juice,0.5,oz
Tahitian Tea,Cocktail Classics,503,6,Cranberry Juice,1,oz
Cosmopolitan,Vodka,568,4,Cranberry Juice,0.5,oz
Citronella Cooler,Vodka,572,4,Cranberry Juice,1,oz
Wiki Waki Woo,Rum - Daiquiris,582,5,Cranberry Juice,1,oz
The Vacation Cocktail,Rum - Daiquiris,596,5,Cranberry Juice,0.5,oz
Prohibition Punch,Rum - Daiquiris,685,4,Cranberry Juice,1,oz
Pink Paradise,Rum - Daiquiris,691,3,Cranberry Juice,3,oz
Casco Bay Lemonade,Vodka,712,4,Cranberry Juice,1,oz
Cappuccino Cocktail,Vodka,714,5,Cranberry Juice,5,oz
Cape Codder,Tequila,715,2,Cranberry Juice,5,oz
Tequila Canyon,Tequila,789,3,Cranberry Juice,1,oz
Harvest Nectar,Rum - Daiquiris,878,3,Cranberry Juice,1,oz
Mexican Madras,Tequila,909,2,Cranberry Juice,2,oz
Gauguin,Cocktail Classics,1,4,Lime Juice,1,oz
Fort Lauderdale,Cocktail Classics,2,4,Lime Juice,0.25,oz
Cuban Cocktail No. 1,Cocktail Classics,4,1,Lime Juice,0.5,oz
Casa Blanca,Cocktail Classics,8,2,Lime Juice,1.5,oz
Bacardi Cocktail,Cocktail Classics,12,2,Lime Juice,0.5,oz
Webster Cocktail,Cocktail Classics,19,1,Lime Juice,0.5,oz
Jocose Julep,Whiskies,21,3,Lime Juice,1,oz
Mamie's Sister,Cocktail Classics,56,1,Lime Juice,1,oz
Irish Rickey,Whiskies,57,2,Lime Juice,0.5,oz
Green Devil,Cocktail Classics,75,3,Lime Juice,1,oz
Gimlet,Cocktail Classics,86,1,Lime Juice,1,oz
Frankenjack Cocktail,Cocktail Classics,88,5,Lime Juice,0.5,oz
Fog Horn,Cocktail Classics,89,1,Lime Juice,0.5,oz
Bronx Terrace Cocktail,Cocktail Classics,106,3,Lime Juice,0.5,oz
Billy Taylor,Cocktail Classics,113,1,Lime Juice,0.5,oz
Jack Rose Cocktail,Brandy,123,2,Lime Juice,0.5,oz
Vodka Gimlet,Vodka,131,2,Lime Juice,1,oz
After Dinner Cocktail,Cocktail Classics,159,3,Lime Juice,1,oz
Saronno Rose,Cocktail Classics,184,2,Lime Juice,0.5,oz
Frisco Sour,Whiskies,186,3,Lime Juice,0.5,oz
Underneath The Mango Tree,Vodka,196,4,Lime Juice,0.75,oz
Twister,Vodka,199,2,Lime Juice,0.5,oz
Eastern Sour,Whiskies,206,3,Lime Juice,1,oz
The Titian,Vodka,217,4,Lime Juice,0.5,oz
Grenadine Rickey,Cocktail Classics,219,1,Lime Juice,0.5,oz
Cotton Club Flip,Whiskies,248,3,Lime Juice,0.75,oz
Chef's Pain,Vodka,261,2,Lime Juice,0.75,oz
Purple Ruby,Vodka,281,4,Lime Juice,0.25,oz
